Timestamp,Jenis Error,Pesan Error,User ID,Versi Aplikasi,Lokasi,Platform,Severity Level,Browser/User Agent,Sistem Operasi,Response Time (ms),Network Latency (ms),CPU Usage (%)
2024-01-01 00:00:00,InvalidInputException,I/O error occurred,user97,v1.0,Medan,Web,Warning,Firefox 108,macOS 13,813,32,53
2024-01-01 00:44:41,InvalidInputException,Resource not found,user44,v1.0,Makassar,Web,Debug,Chrome 110,Windows 10,4412,20,78
2024-01-01 01:29:22,NullPointerException,Resource not found,user80,v2.0,Bandung,Android,Error,Safari 16,Windows 10,4858,159,94
2024-01-01 02:14:03,Connection Error,Timeout while processing request,user61,v1.1,Jakarta,iOS,Debug,Chrome 110,Windows 10,4766,78,33
2024-01-01 02:58:44,ResourceNotFoundException,Resource not found,user43,v2.0,Jakarta,Web,Info,Edge 109,Android 13,2963,106,33
2024-01-01 03:43:25,NullPointerException,Resource not found,user52,v2.0,Jakarta,Android,Error,Chrome 110,Windows 10,1786,132,60
2024-01-01 04:28:06,Connection Error,Timeout while processing request,user6,v2.0,Surabaya,iOS,Debug,Chrome 110,Windows 10,4485,106,46
2024-01-01 05:12:47,Connection Error,Invalid input format,user35,v2.0,Jakarta,Android,Info,Safari 16,macOS 13,4499,111,26
2024-01-01 05:57:28,Connection Error,Null pointer access,user15,v1.0,Surabaya,Web,Error,Firefox 108,macOS 13,4389,167,45
2024-01-01 06:42:09,Timeout Exception,Timeout while processing request,user96,v1.1,Bandung,Android,Info,Chrome 110,iOS 16,1392,171,10
2024-01-01 07:26:50,Connection Error,Failed to connect to database,user81,v2.0,Medan,Android,Warning,Firefox 108,Android 13,3544,190,39
2024-01-01 08:11:31,Connection Error,Invalid input format,user32,v1.2,Surabaya,Web,Warning,Firefox 108,iOS 16,1132,173,67
2024-01-01 08:56:12,NullPointerException,I/O error occurred,user90,v1.2,Bandung,iOS,Warning,Safari 16,macOS 13,3769,180,21
2024-01-01 09:40:54,IOException,Null pointer access,user90,v1.2,Surabaya,Android,Info,Firefox 108,Android 13,4395,198,36
2024-01-01 10:25:35,InvalidInputException,Resource not found,user53,v1.2,Makassar,Web,Critical,Chrome 110,macOS 13,3954,88,30
2024-01-01 11:10:16,InvalidInputException,Failed to connect to database,user46,v2.0,Jakarta,iOS,Warning,Safari 16,Android 13,4290,136,35
2024-01-01 11:54:57,Connection Error,Invalid input format,user54,v1.0,Medan,iOS,Fatal,Chrome 110,Android 13,4595,46,17
2024-01-01 12:39:38,IOException,I/O error occurred,user18,v1.0,Surabaya,iOS,Fatal,Firefox 108,Windows 10,3637,193,66
2024-01-01 13:24:19,InvalidInputException,I/O error occurred,user53,v2.0,Jakarta,iOS,Debug,Firefox 108,Android 13,4175,27,73
2024-01-01 14:09:00,InvalidInputException,I/O error occurred,user34,v1.2,Surabaya,Web,Debug,Firefox 108,Windows 10,4950,175,18
2024-01-01 14:53:41,Connection Error,Invalid input format,user93,v1.1,Surabaya,Android,Warning,Firefox 108,iOS 16,503,168,47
2024-01-01 15:38:22,InvalidInputException,I/O error occurred,user61,v1.2,Medan,Android,Error,Chrome 110,Android 13,3209,89,99
2024-01-01 16:23:03,Timeout Exception,Null pointer access,user42,v2.0,Makassar,Android,Fatal,Firefox 108,Android 13,3694,49,86
2024-01-01 17:07:44,Connection Error,Invalid input format,user75,v1.0,Jakarta,iOS,Warning,Chrome 110,Windows 10,1603,170,52
